PDB Code,Tubulin Name,Resolution (Å),Resolution Range,Structure
3VWD,Alpha-tubulin N-acetyltransferase,1.25,1.0-1.5 Å,https://www.rcsb.org/structure/3VWD
4B5O,ALPHA-TUBULIN N-ACETYLTRANSFERASE,1.05,1.0-1.5 Å,https://www.rcsb.org/structure/4B5O
4ICV,Tubulin-specific chaperone E,1.45,1.0-1.5 Å,https://www.rcsb.org/structure/4ICV
4NFN,Tau-tubulin kinase 1,1.42,1.0-1.5 Å,https://www.rcsb.org/structure/4NFN
6VRF,Tau-tubulin kinase 2,1.5,1.0-1.5 Å,https://www.rcsb.org/structure/6VRF
4PK2,Alpha-tubulin N-acetyltransferase 1,1.35,1.0-1.5 Å,https://www.rcsb.org/structure/4PK2
4PK3,Alpha-tubulin N-acetyltransferase 1,1.347,1.0-1.5 Å,https://www.rcsb.org/structure/4PK3
1H7C,TUBULIN-SPECIFIC CHAPERONE A,1.8,1.5-2.0 Å,https://www.rcsb.org/structure/1H7C
3VWE,Alpha-tubulin N-acetyltransferase,1.956,1.5-2.0 Å,https://www.rcsb.org/structure/3VWE
4B5P,ALPHA-TUBULIN N-ACETYLTRANSFERASE,1.6,1.5-2.0 Å,https://www.rcsb.org/structure/4B5P
4BTK,TAU-TUBULIN KINASE 1,2,1.5-2.0 Å,https://www.rcsb.org/structure/4BTK
4IF5,Alpha-tubulin N-acetyltransferase,1.7,1.5-2.0 Å,https://www.rcsb.org/structure/4IF5
6S8L,Tubulin alpha-1B chain,1.801,1.5-2.0 Å,https://www.rcsb.org/structure/6S8L
6S8L,Tubulin beta-3 chain,1.801,1.5-2.0 Å,https://www.rcsb.org/structure/6S8L
6U0K,Tau-tubulin kinase 2,1.744,1.5-2.0 Å,https://www.rcsb.org/structure/6U0K
6VRF,Tau-tubulin kinase 2,1.5,1.5-2.0 Å,https://www.rcsb.org/structure/6VRF
7JXX,Tau-tubulin kinase 1,1.56,1.5-2.0 Å,https://www.rcsb.org/structure/7JXX
7PJF,Tubulin alpha-1B chain,1.862,1.5-2.0 Å,https://www.rcsb.org/structure/7PJF
7PJF,Tubulin beta-3 chain,1.862,1.5-2.0 Å,https://www.rcsb.org/structure/7PJF
7Q8Y,Tau-tubulin kinase 2,1.6,1.5-2.0 Å,https://www.rcsb.org/structure/7Q8Y
7Q8Z,Tau-tubulin kinase 2,1.57,1.5-2.0 Å,https://www.rcsb.org/structure/7Q8Z
7Q90,Tau-tubulin kinase 2,1.6,1.5-2.0 Å,https://www.rcsb.org/structure/7Q90
7ZHN,Tau-tubulin kinase 1,1.85,1.5-2.0 Å,https://www.rcsb.org/structure/7ZHN
7ZHP,Tau-tubulin kinase 1,1.8,1.5-2.0 Å,https://www.rcsb.org/structure/7ZHP
7ZHQ,Tau-tubulin kinase 1,1.8,1.5-2.0 Å,https://www.rcsb.org/structure/7ZHQ
4U9Z,Alpha-tubulin N-acetyltransferase 1,1.802,1.5-2.0 Å,https://www.rcsb.org/structure/4U9Z
